Uniprot	GN	PN	Strain	Factor	median.k	mad.k
P05064	Aldoa	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase)	cej	ctrl	0.132642	0.0294992922
P05064	Aldoa	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase)	cej	iso	0.145215	0.0256993884
P05064	Aldoa	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase)	dba	ctrl	0.125989	0.0203605458
P05064	Aldoa	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase)	dba	iso	0.148633	0.0304051608
P05064	Aldoa	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase)	fvb	ctrl	0.134106	0.019184844
P05064	Aldoa	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase)	fvb	iso	0.124341	0.0203605458
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	aj	ctrl	0.14671	0.0531630708
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	aj	iso	0.5314455	0.2349135222
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	balbc	ctrl	0.418652	0.0586383126
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	balbc	iso	0.410352	0.233828259
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	c57	ctrl	0.2660645	0.0660587256
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	c57	iso	0.316602	0.168675402
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	cej	ctrl	0.242139	0.0767364108
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	cej	iso	0.463086	0.208490625
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	dba	ctrl	0.4882325	0.2124721473
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	dba	iso	0.469922	0.1172766252
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	fvb	ctrl	0.355176	0.1570918482
P05125	Nppa	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	fvb	iso	0.272168	0.0571898124
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	aj	ctrl	0.212109	0.0282331518
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	balbc	ctrl	0.2467165	0.1453733778
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	balbc	iso	0.247266	0
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	c57	ctrl	0.2262695	0.0846987141
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	c57	iso	0.170972	0
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	cej	ctrl	0.219922	0
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	cej	iso	0.1335115	0.1366178835
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	dba	ctrl	0.187695	0
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	dba	iso	0.189465	0.0207223002
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	fvb	ctrl	0.1261105	0.1115752869
P05132	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	fvb	iso	0.161816	0.0311286696
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	aj	ctrl	0.0653505	0.0156095541
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	aj	iso	0.0896425	0.0122618433
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	balbc	ctrl	0.086316	0.0247045638
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	balbc	iso	0.080151	0.0147503874
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	c57	ctrl	0.066479	0.0135746856
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	c57	iso	0.077771	0.0107681238
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	cej	ctrl	0.0782285	0.0200432694
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	cej	iso	0.0873535	0.0115828125
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	dba	ctrl	0.0682495	0.0104975493
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	dba	iso	0.070996	0.0112210581
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	fvb	ctrl	0.074902	0.0180076596
P05201	Got1	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	fvb	iso	0.075818	0.0137540802
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	aj	ctrl	0.032452	0.0072395358
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	aj	iso	0.035474	0.0107681238
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	balbc	ctrl	0.034467	0.00814392180000001
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	balbc	iso	0.031995	0.0090483078
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	c57	ctrl	0.029065	0.0066064656
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	c57	iso	0.026868	0.0061987506
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	cej	ctrl	0.02995	0.0047057724
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	cej	iso	0.034375	0.0079185666
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	dba	ctrl	0.030026	0.0051579654
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	dba	iso	0.030347	0.0078488844
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	fvb	ctrl	0.0322085	0.0053395839
P05202	Got2	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	fvb	iso	0.02937	0.0066064656
P05555	Itgam	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (CD antigen CD11b)	dba	iso	0.930859	0
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	aj	ctrl	0.239941	0
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	aj	iso	0.233594	0.0622573392
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	balbc	iso	0.237622	0.0961006494
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	c57	ctrl	0.1582765	0.1319358327
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	c57	iso	0.292798	0.1404415089
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	cej	ctrl	0.2887695	0.1078643391
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	cej	iso	0.260205	0.0492275091
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	fvb	ctrl	0.2727785	0.0577331853
P05977	Myl1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	fvb	iso	0.277295	0
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	aj	ctrl	0.097363	0.0159260892
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	aj	iso	0.122632	0.0137555628
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	balbc	ctrl	0.1121645	0.0143426724
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	balbc	iso	0.135449	0.0133923258
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	c57	ctrl	0.093518	0.0190936641
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	c57	iso	0.122388	0.0240714936
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	cej	ctrl	0.097485	0.0130305714
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	cej	iso	0.120923	0.0188223483
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	dba	ctrl	0.0881165	0.0131662293
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	dba	iso	0.12605	0.015293019
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	fvb	ctrl	0.093274	0.012216624
P06151	Ldha	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	fvb	iso	0.109326	0.0190032255
P06683	C9	Complement component C9	balbc	ctrl	255.3	0
P06683	C9	Complement component C9	c57	ctrl	1.26875	0
P06683	C9	Complement component C9	c57	iso	0.388379	0
P06683	C9	Complement component C9	cej	ctrl	1.294141	0
P06683	C9	Complement component C9	cej	iso	1.058789	0
P06683	C9	Complement component C9	dba	ctrl	1.065625	0.3185277144
P06683	C9	Complement component C9	fvb	ctrl	0.4484375	0.1795332231
P06683	C9	Complement component C9	fvb	iso	127.6682555	189.2268243957
P06684	C5	Complement C5 (Hemolytic complement) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	c57	ctrl	0.735547	0
P06684	C5	Complement C5 (Hemolytic complement) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	c57	iso	0.261792	0.047235636
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	balbc	ctrl	1.378125	0.3822320712
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	balbc	iso	0.45332	0
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	c57	ctrl	0.380078	0
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	c57	iso	0.6203125	0.2779875
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	cej	iso	1.163281	0
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	dba	ctrl	1.202344	0
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	dba	iso	0.251172	0
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	fvb	ctrl	1.55	0
P06728	Apoa4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	fvb	iso	0.569531	0
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	aj	ctrl	0.0670285	0.016197405
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	aj	iso	0.0665255	0.010904523
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	balbc	ctrl	0.078931	0.0119438256
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	balbc	iso	0.070325	0.0160847274
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	c57	ctrl	0.068494	0.0128496942
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	c57	iso	0.071301	0.0198179142
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	cej	ctrl	0.070081	0.0151106592
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	cej	iso	0.083447	0.0145695102
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	dba	ctrl	0.069806	0.0184153746
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	dba	iso	0.088849	0.0098185185
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	fvb	ctrl	0.065747	0.0231204057
P06745	Gpi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	fvb	iso	0.068921	0.018821607
P06800	Ptprc	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (Lymphocyte antigen 5) (Ly-5) (T200) (CD antigen CD45)	balbc	ctrl	0.844922	0
P06800	Ptprc	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (Lymphocyte antigen 5) (Ly-5) (T200) (CD antigen CD45)	balbc	iso	0.707227	0
P06800	Ptprc	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (Lymphocyte antigen 5) (Ly-5) (T200) (CD antigen CD45)	fvb	ctrl	0.59248	0
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	aj	ctrl	0.100476	0.0158356506
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	aj	iso	0.129224	0.0208127388
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	balbc	ctrl	0.164258	0.00506752680000001
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	balbc	iso	0.127942	0.0149312646
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	c57	ctrl	0.100354	0.0121254441
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	c57	iso	0.100049	0.0162893262
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	cej	ctrl	0.109692	0.0110394396
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	cej	iso	0.117932	0.0104515887
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	dba	ctrl	0.105481	0.00866505569999998
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	dba	iso	0.1129275	0.0212656731
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	fvb	ctrl	0.1227535	0.0269662701
P06801	Me1	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	fvb	iso	0.08186	0.00398078100000001
P06909	Cfh	Complement factor H (Protein beta-1-H)	aj	ctrl	1.264844	1.1061589644
P06909	Cfh	Complement factor H (Protein beta-1-H)	aj	iso	1.620312	1.4391642678
P06909	Cfh	Complement factor H (Protein beta-1-H)	balbc	ctrl	1.059766	0.3909201072
P06909	Cfh	Complement factor H (Protein beta-1-H)	balbc	iso	0.541211	0.1795339644
P06909	Cfh	Complement factor H (Protein beta-1-H)	c57	ctrl	1.132031	0.031853661
P06909	Cfh	Complement factor H (Protein beta-1-H)	c57	iso	0.963086	0.0593618213999999
P06909	Cfh	Complement factor H (Protein beta-1-H)	cej	ctrl	1.594922	0.2055951072
P06909	Cfh	Complement factor H (Protein beta-1-H)	cej	iso	1.014844	0.8821040046
P06909	Cfh	Complement factor H (Protein beta-1-H)	dba	ctrl	0.438672	0
